Title,Price,Size,Rating,Review Count,Category,Region,ABV,Body,Sweet-Dry Scale,Style,Tasting Notes,Food Pairing
Jm Gerin Vialliere,54.24,750.0ml bottle,,,Syrah / Shiraz,"Rhone, France",,Full,Dry,Earthy & Spicy,,"Pork, Duck & Game Bird"
Hartford Ct Arrendel Pinot Noir,54.23,750.0ml bottle,,,Pinot Noir,"Sonoma County, United States",0.15,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Mollydooker Blue Eyed Boy,54.22,750.0ml bottle,,,Syrah / Shiraz,"McLaren Vale, Australia",0.16,Full,Dry,Earthy & Spicy,,"Pork, Duck & Game Bird"
Trinch Haystack Malbec 2011,54.21,750.0ml bottle,,,Malbec,"Napa County, United States",0.14,Full,Dry,Big & Bold,,"Pork, Mushrooms"
Speri Pigaro Amarone,54.09,750.0ml bottle,,,Sangiovese,Italy,,Medium,Dry,Big & Bold,,"Cured Meats, Cheese Hard Aged"
Claude Genet Grand Cru Blanc De Blancs,54.00,750.0ml bottle,,,Champagne,"Champagne, France",,,,,,
Chiarlo Tortoniano Barolo,54.00,750.0ml bottle,,,Nebbiolo,"Piedmonte, Italy",,Medium,Dry,Big & Bold,,"Beef, Mushrooms"
Palladino Serralunga Barolo,54.00,750.0ml bottle,,,Nebbiolo,"Piedmonte, Italy",,Medium,Dry,Big & Bold,,"Beef, Mushrooms"
Jadot P Fuisse  Tourn,54.00,750.0ml bottle,,,Pinot Noir,France,,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Faust Cabernet Sauvignon,53.99,750.0ml bottle,4.9,(3 Reviews),Cabernet Sauvignon,"Napa Valley, United States",0.15,Full,Dry,Big & Bold,"Balanced, Bright, Dark Fruit, Fresh, Herbal, Intense, Red Fruit, Silky","Beef, Duck & Game Bird"
Galerie Pleinair Napa Valley Cabernet Sauvignon,53.99,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",0.15,Full,Dry,Big & Bold,"Balanced, Cassis, Dark Fruit, Floral, Silky, Spicy","Beef, Duck & Game Bird"
Galerie Latro Knights Valley Cabernet Sauvignon,53.99,750.0ml bottle,,,Cabernet Sauvignon,"Sonoma County, United States",0.15,Full,Dry,Big & Bold,"Cherry, Currant, Dark Fruit, Herbal, Red Fruit","Beef, Duck & Game Bird"
Venge Napa Valley Silencieux Cabernet Sauvignon,53.99,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",,,,,,
Foxen Vogelzang Cabernet,53.99,750.0ml bottle,,,Cabernet Sauvignon,"California, United States",,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Begali Amarone Cru Monte Ca' Bianca,53.99,750.0ml bottle,,,Amarone,"Veneto, Italy",0.16,,,,,
Veuve Clicquot Yellow Label Mailbox,53.99,750.0ml bottle,,,Champagne,"Champagne, France",,,,,,
Barrat Masson Fleur De Craie Champagne,53.99,750.0ml bottle,,,Champagne,"Champagne, France",,,,,,
Artadi El Seque,53.99,750.0ml bottle,,,Mourvedre / Monastrell,"Valencia, Spain",0.14,Full,,,,
Sottimano Pajore Barbaresco,53.99,750.0ml bottle,,,Nebbiolo,"Piedmonte, Italy",0.15,Medium,Dry,Big & Bold,,"Beef, Mushrooms"
Regis Bouv Morey St Denis Rdv,53.99,750.0ml bottle,,,Pinot Noir,"Burgundy, France",,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Siduri Pisoni Pinot Noir,53.99,750.0ml bottle,,,Pinot Noir,"California, United States",0.15,Light,Dry,Fruity & Light,"Dark Fruit, Oak, Red Fruit, Smooth","Fish Meaty & Oily, Duck & Game Bird"
Vougeraie Vougeot Cl Prieure,53.99,750.0ml bottle,,,Sangiovese,"Burgundy, France",0.13,Medium,Dry,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Denis Bachelet Bourgogne Rouge 2014,53.99,750.0ml bottle,,,Pinot Noir,"Burgundy, France",0.13,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Nicolis Amarone della Valpolicella Classico,53.99,750.0ml bottle,,,Valpolicella Blend,"Veneto, Italy",0.15,,,,,
Velenosi Roggio Del Filare Rosso Piceno,53.99,750.0ml bottle,,,Tuscan Blend,"Marche, Italy",,,,,,
Domaines Ott Chateau de Selle Rose,53.99,750.0ml bottle,,,Rose Wine,"Cotes de Provence, France",0.13,,,,,
Champagne Heidsieck Monopole Rose Top Brut NV,53.99,750.0ml bottle,,,Champagne Blend,"Champagne, France",0.12,,,,,
Sheridan Cabernet Franc Yakima Boss Block,53.98,750.0ml bottle,,,Cabernet Franc,,0.14,Medium,,,,
Chateau Beauregard Pomerol,53.98,750.0ml bottle,,,Bordeaux Blend,"Bordeaux, France",0.14,Full,Dry,Big & Bold,,
Spring Valley 'Katherine' Cabernet Franc,53.94,750.0ml bottle,,,Cabernet Franc,"Walla Walla Valley, United States",0.14,Medium,Dry,Sweet & Smooth,"Sweet, Vanilla",
Collosorbo Brunello di Montalcino,53.90,750.0ml bottle,,,Sangiovese,"Tuscany, Italy",,,,Big & Bold,,
Wrath Chardonnay San Saba Vyd,53.75,750.0ml bottle,,,Chardonnay,Saba,,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Beringer Knights Village Reserve Cabernet Sauvignon,53.64,750.0ml bottle,,,Cabernet Sauvignon,"Sonoma County, United States",0.15,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Massolino Barolo Serralunga d'Alba ,53.64,750.0ml bottle,,,Nebbiolo,"Piedmonte, Italy",0.14,Medium,Dry,Big & Bold,,"Beef, Cheese Hard Aged, Cheese Nutty & Semi-Firm, Lamb, Mushrooms, Pasta"
A & G Fantino Barolo Vigne Vecchie,53.50,750.0ml bottle,,,Nebbiolo,"Piedmonte, Italy",,Full,Dry,Big & Bold,,
Long Meadow Ranch Cabernet Sauvignon Napa Valley,53.49,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",0.14,Full,Dry,Big & Bold,"Balanced, Dark Fruit, Mocha, Oak","Beef, Cheese Hard Aged, Cheese Nutty & Semi-Firm, Duck & Game Bird, Lamb, Mushrooms, Pork"
Plumpjack Chardonnay Reserve,53.49,750.0ml bottle,,,Chardonnay,,,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Domaine De La Folie Rully Chardonnay,53.49,750.0ml bottle,,,Chardonnay,"Burgundy, France",,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Rovellotti Ghemme Riserva Costa del Salmino 2008,53.49,750.0ml bottle,,,Nebbiolo,"Piedmonte, Italy",0.14,Medium,Dry,Big & Bold,,"Beef, Mushrooms"
Montefiore Kerem Moshe Red Blend,53.49,750.0ml bottle,,,Red Blend,,,,,,,
Chanson Savigny Dominode 2011,53.38,750.0ml bottle,,,Pinot Noir,"Burgundy, France",0.13,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Joseph Phelps Pinot Noir,53.29,750.0ml bottle,,,Pinot Noir,"Sonoma Coast, United States",0.14,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Yatir Kosher Cabernet Sauvignon,53.00,750.0ml bottle,,,Cabernet Sauvignon,"Judean Hills, Israel",0.14,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Piccini Brunello Di Montalcino,53.00,750.0ml bottle,,,Brunello,"Tuscany, Italy",,Medium,Dry,Big & Bold,,"Cured Meats, Cheese Hard Aged"
Ridgeview,53.00,750.0ml bottle,,,Rose Wine,England,0.12,,,,,
Neal Cabernet Sauvignon,52.99,750.0ml bottle,,,Cabernet Sauvignon,"California, United States",0.15,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Tranche Estate Cabernet Sauvignon,52.99,750.0ml bottle,,,Cabernet Sauvignon,"Walla Walla Valley, United States",,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Ladera Cabernet Sauvignon,52.99,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",0.14,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
San Giuseppe Amarone Cl,52.99,750.0ml bottle,,,Amarone,Italy,,,,,,
Moet & Chandon Imperial Brut Champagne,52.99,750.0ml bottle,4.8,(30 Reviews),Champagne Blend,"Champagne, France",0.12,,Dry,,"Apple, Balanced, Biscuit, Bright, Citrus, Crisp, Fresh, Fruity, Pear","Cheese Fresh & Soft, Cheese Hard Aged, Cheese Nutty & Semi-Firm, Cured Meats, Fish White, Shellfish"
Champagne Laherte Freres Brut Rose,52.99,750.0ml bottle,,,Champagne,"Champagne, France",,,,,,
Pierre Paillard Grand Cru Bouzy Brut Nv,52.99,750.0ml bottle,,,Champagne Blend,"Champagne, France",,,,,,
Champagne Pommery Blue Sky Extra-Dry NV,52.99,750.0ml bottle,,,Champagne,"Champagne, France",0.13,,Semi-Sweet / Off-Dry,,"Apple, Creamy, Fresh, Fruity, Intense, Passionfruit, Peach, Rich, Round, Smooth, Supple, Sweet, Syrupy","Dessert Chocolate & Coffee, Dessert Fruit, Dessert Vanilla & Caramel, Fruit Citrus, Fruit Dried, Fruit Sweet, Nuts"
Mailly Blanc De Noirs Grand Cru,52.99,750.0ml bottle,,,Champagne,,0.12,,,,,
Fevre Chablis Montmains,52.99,750.0ml bottle,,,Chardonnay,"Chablis, France",0.13,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Ridge Estate 10 Merlot,52.99,750.0ml bottle,,,Merlot,"Central Coast, United States",0.14,Medium,Dry,Big & Bold,"Acidic, Cherry, Dark Fruit, Floral, Herbal","Cheese Fresh & Soft, Chicken, Duck & Game Bird"
Parusso Nebbiolo Barolo,52.99,750.0ml bottle,,,Nebbiolo,"Piedmonte, Italy",,Medium,Dry,Big & Bold,,"Beef, Mushrooms"
Corino Barolo,52.99,750.0ml bottle,,,Nebbiolo,"Piedmonte, Italy",0.15,Medium,Dry,Big & Bold,,"Beef, Mushrooms"
Ca Bianca Barolo,52.99,750.0ml bottle,,,Nebbiolo,"Piedmonte, Italy",0.14,Medium,Dry,Big & Bold,,"Beef, Mushrooms"
Veuve Fourny Brut Premier,52.99,750.0ml bottle,,,Other Sparkling Wine,France,0.12,,,,,
Twomey Pinot Noir Russian River,52.99,750.0ml bottle,,,Pinot Noir,"Russian River Valley, United States",0.14,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Cherry Pie Pinot Noir Stanly Ranch,52.99,750.0ml bottle,,,Pinot Noir,"California, United States",0.16,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Shea Pinot Noir 2014,52.99,750.0ml bottle,,,Pinot Noir,"Oregon, United States",0.15,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Dutton Goldfield Pinot Noir Dutton,52.99,750.0ml bottle,,,Pinot Noir,,0.14,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Saintsbury Pinot Noir Toyon Farm,52.99,750.0ml bottle,,,Pinot Noir,"California, United States",0.15,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Seven Hills Winery Ciel du Cheval Vineyard Red Wine,52.99,750.0ml bottle,,,Red Blend,"Washington, United States",0.15,,,,"Chocolate, Dried Fruit, Earthy, Herbal, Red Fruit, Rich, Tobacco",
Capture Innovant Red Blend,52.99,750.0ml bottle,,,Red Blend,"Alexander Valley, United States",0.15,,Dry,Big & Bold,"Berry, Blueberry, Dry, Red Fruit, Silky, Spicy","Beef, Cheese Hard Aged, Duck & Game Bird, Lamb, Mushrooms, Tomatoes"
Domaine De L'arnesque Chateauneuf du Pape,52.99,750.0ml bottle,,,Rhone Blend,,,,,,,
Turley Zinfandel Moore Earthquake Vineyard 2007,52.99,750.0ml bottle,,,Zinfandel,"Napa Valley, United States",0.16,Medium,,,,
Mailly Brut Vintage Grand Cru,52.98,750.0ml bottle,,,Champagne,,0.12,,,,,
De Margerie Grand Cru Brut Vintage,52.98,750.0ml bottle,,,Champagne,,0.12,,,,,
La Celestiere Les Domaines Chat Du Pape,52.98,750.0ml bottle,,,Rhone Blend,,0.15,,,,,
Valtravieso Ribera Del Duero Tinta Fina,52.98,750.0ml bottle,,,Tempranillo,,0.15,Medium,Dry,Sweet & Smooth,,"Tomatoes, Cured Meats"
Vincent Couche Elegance Brut Champagne,52.97,750.0ml bottle,,,Champagne Blend,"Champagne, France",0.12,,,,,
Pahlmeyer Jayson Chardonnay,52.80,750.0ml bottle,,,Chardonnay,"California, United States",0.15,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Cotes du Pays Comte de Lauze,52.80,750.0ml bottle,,,Rhone Blend,"Rhone, France",0.13,,,,,
Trinitas Cabernet Napa,52.79,750.0ml bottle,,,Cabernet Sauvignon,,,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Bruno Colin Chassagne-Montrachet La Maltroie 2012,52.76,750.0ml bottle,,,Chardonnay,"Burgundy, France",0.14,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
La Spinetta Pin,52.70,750.0ml bottle,,,Nebbiolo,,,Medium,Dry,Big & Bold,,"Beef, Mushrooms"
Nicolette Christopher Cabernet,52.64,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",0.14,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Marchesi Biscardo Amarone,52.62,750.0ml bottle,,,Amarone,,,,,,,
Michel Mailliard Rose Cuvee Alexia Champagne,52.62,750.0ml bottle,,,Champagne,,,,,,,
Roberts + Rogers Reserve Chardonnay,52.62,750.0ml bottle,,,Chardonnay,,,,,,,
"Domaine Serene ""Yamhill Cuvee"" Pinot Noir",52.62,750.0ml bottle,,,Pinot Noir,"Willamette Valley, United States",0.14,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Argyle Nuthouse Pinot Noir,52.62,750.0ml bottle,,,Pinot Noir,"Willamette Valley, United States",0.14,Light,,Fruity & Light,"Cherry, Earthy, Rose Petal, Silky, Smooth","Cheese Nutty & Semi-Firm, Chicken, Duck & Game Bird, Fish Meaty & Oily, Mushrooms, Pork, Turkey"
W.H. Smith Maritime Pinot Noir,52.62,750.0ml bottle,,,Pinot Noir,,,Medium,Dry,Fruity & Light,,
Macrostie Wildcat Pinot Noir,52.62,750.0ml bottle,,,Pinot Noir,"California, United States",0.14,Light,,Fruity & Light,"Balanced, Berry, Cherry, Fruity, Minerality, Red Fruit, Rich, Roasted, Smooth","Cheese Nutty & Semi-Firm, Chicken, Dessert Fruit, Duck & Game Bird, Fish Meaty & Oily, Lamb, Mushrooms, Pasta, Pork, Turkey"
Lageder Krafus Pinot Noir 2009,52.62,750.0ml bottle,,,Pinot Noir,Italy,0.13,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Boedecker Cellars Stewart Pinot Noir,52.62,750.0ml bottle,,,Pinot Noir,,,,,,,
Altamura Sauvignon Blanc,52.62,750.0ml bottle,,,Sauvignon Blanc,"Napa Valley, United States",0.13,Light,Dry,,,"Chicken, Cheese Fresh & Soft"
Chapel Down Rose Brut,52.62,750.0ml bottle,,,Sparkling Rose Wine,,0.12,,,,,
Angela Pinot Noir Abbot Claim,52.61,750.0ml bottle,,,Pinot Noir,"California, United States",0.14,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
En Route Pinot Noir Reserve,52.52,750.0ml bottle,,,Pinot Noir,"Russian River Valley, United States",0.15,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Malbec Henry Lagarde Primeras,52.50,750.0ml bottle,,,Malbec,"Mendoza, Argentina",0.14,Full,Dry,Big & Bold,,"Pork, Mushrooms"
Domaines Ott Chateau Romassan Bandol Rose,52.50,750.0ml bottle,,,Rose Wine,"Bandol, France",0.13,,Dry,,"Citrus, Dry, Floral, Fresh, Light, Minerality","Fish White, Chicken"
Chartogne-Taillet Brut Cuvee St. Anne Champagne,52.49,750.0ml bottle,,,Other Sparkling Wine,"Champagne, France",0.12,,,,,
Castel C Blanc Du Castel,52.49,750.0ml bottle,,,Chardonnay,"Judean Hills, Israel",0.14,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Terrazas de los Andes Aficiando,52.49,750.0ml bottle,,,Malbec,Argentina,0.15,Full,Dry,Big & Bold,,"Pork, Mushrooms"
Ata Rangi Mart Pinot Noir,52.49,750.0ml bottle,,,Pinot Noir,"Martinborough, New Zealand",,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Macphail Pinot Noir Toulouse,52.49,750.0ml bottle,,,Pinot Noir,"Sonoma County, United States",0.15,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Summerland Noelle Pinot Noir,52.49,750.0ml bottle,,,Pinot Noir,"Central Coast, United States",,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Caduceus Anubis,52.49,750.0ml bottle,,,Meritage,"Arizona, United States",,,,,,
Heritance Napa Cabernet Sauvignon,52.49,750.0ml bottle,,,Red Blend,"Napa Valley, United States",0.14,,,,,
Mousse Fils Champagne Blanc de Noirs Perpetuelle L'or D'eugene NV,52.48,750.0ml bottle,,,Champagne Blend,,,,,,,
Bpf Nsg St Georges,52.20,750.0ml bottle,,,Pinot Noir,,,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Gary Farrell Olivet Lane Chardonnay,52.18,750.0ml bottle,,,Chardonnay,"California, United States",,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Gallo Signature Series Santa Lucia Highlands Pinot Noir,52.18,750.0ml bottle,,,Pinot Noir,"California, United States",0.15,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Hong Kong Veuve Brut Yellow Label,52.00,750.0ml bottle,,,Champagne,"Champagne, France",,,,,,
Cantina Del Pino Albesani Barbaresco,52.00,750.0ml bottle,,,Nebbiolo,,,Medium,Dry,Big & Bold,,"Beef, Mushrooms"
Nervi Conterno Gattinara ,52.00,750.0ml bottle,,,Nebbiolo,"Piedmonte, Italy",0.13,Full,Dry,Big & Bold,,"Beef, Mushrooms"
Lis Neris Pinot Grigio Friuli Isonzo,52.00,750.0ml bottle,,,Pinot Grigio,"Friuli-Venezia Giulia, Italy",0.13,Light,Dry,,,"Shellfish, Salads & Greens"
Hoopes Napa Valley Cabernet,51.99,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Masi Amarone Costasera,51.99,750.0ml bottle,,,Amarone,Italy,,,,,,
Pol Roger Brut Reserve,51.99,750.0ml bottle,4.8,(3 Reviews),Champagne Blend,"Champagne, France",,,,,"Fresh, Nutty, Floral, Toasty","Shellfish, Fish White"
Mailly Brut Rose Grand Cru,51.99,750.0ml bottle,,,Champagne,,0.12,,,,,
Chateau de Citeaux Meursault Les Grands Charrons,51.99,750.0ml bottle,,,Chardonnay,"Burgundy, France",,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Talley Rosemary's Chardonnay Vineyard Chardonnay,51.99,750.0ml bottle,,,Chardonnay,"California, United States",,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Poli Grappa Sarpa Di Poli,51.99,750.0ml bottle,,,Grappa,,0.40,,,,,"Duck & Game Bird, Beef"
Fantino Vigna Dardi Barolo,51.99,750.0ml bottle,,,Nebbiolo,"Piedmonte, Italy",0.14,Medium,Dry,Big & Bold,,"Beef, Mushrooms"
Champagne de Sousa Brut Blanc de Blancs,51.99,750.0ml bottle,,,Other Sparkling Wine,"Champagne, France",0.13,,,,,
Maison Louis Jadot Savigny Les Beaune 2014,51.99,750.0ml bottle,,,Pinot Noir,"Burgundy, France",0.14,Light,,,,"Fish Meaty & Oily, Duck & Game Bird"
Chateau Le Puy Emilien,51.99,750.0ml bottle,,,Bordeaux Blend,"Cotes de Bordeaux, France",,Full,Dry,Big & Bold,,
Bravante Howell Mountain Estate Trio Red Blend,51.99,750.0ml bottle,,,Proprietary Red Blend,"Napa Valley, United States",0.15,,Dry,Big & Bold,"Anise, Berry, Bright, Cassis, Cherry, Intense, Jammy, Minerality","Beef, Cheese Blue, Cheese Nutty & Semi-Firm, Cured Meats, Dessert Chocolate & Coffee, Lamb, Mushrooms, Tomatoes"
Dom Tempier Bandol,51.99,750.0ml bottle,,,Rhone Blend,"Bandol, France",0.14,,,,,
Chateau Gloria St. Julien 2014,51.99,750.0ml bottle,,,Bordeaux Blend,"Bordeaux, France",,,,,,
Stewart Tartan Red,51.99,750.0ml bottle,,,Red Blend,"Napa Valley, United States",0.15,Full,Dry,Big & Bold,,
Peter Franus Proprietary Red Napa,51.99,750.0ml bottle,,,Red Blend,,,,,,,
La Poderina Brun Di Mont,51.99,750.0ml bottle,,,Sangiovese,"Tuscany, Italy",0.15,Medium,Dry,Big & Bold,,"Cured Meats, Cheese Hard Aged"
Romilily Monte Rosso Zinfandel,51.99,750.0ml bottle,,,Zinfandel,"California, United States",0.15,Medium,,,,
Batasiolo Barolo Briccolina 2008,51.87,750.0ml bottle,,,Nebbiolo,"Piedmonte, Italy",0.15,Medium,Dry,Big & Bold,,"Beef, Mushrooms"
Windracer Anderson Vly Pinot Noir,51.85,750.0ml bottle,,,Pinot Noir,"Mendocino, United States",,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Maison Noir Oregogne Pinot Noir,51.74,750.0ml bottle,,,Pinot Noir,"Willamette Valley, United States",,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Cordero di Montezemolo Monfalletto Barolo,51.70,750.0ml bottle,,,Nebbiolo,"Piedmonte, Italy",0.15,,Dry,Big & Bold,"Cherry, Red Fruit, Spicy, Tobacco",Beef
K Jackson Hawkeye Cabernet,51.68,750.0ml bottle,,,Cabernet Sauvignon,"Alexander Valley, United States",,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
E. Guigal Chateauneuf du Pape,51.67,750.0ml bottle,5,(1 Reviews),Rhone Blend,"Rhone, France",0.15,,,,,
Coppola Archimedes 2012,51.63,750.0ml bottle,,,Cabernet Sauvignon,"California, United States",0.15,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Frank Family Vineyards Napa Valley Cabernet Sauvignon,51.59,750.0ml bottle,5,(1 Reviews),Cabernet Sauvignon,"Napa Valley, United States",0.15,Full,Dry,Big & Bold,"Balanced, Cassis, Dark Fruit, Fresh, Minerality","Beef, Duck & Game Bird"
Da Vinci Brunello Di Montalcino,51.59,750.0ml bottle,,,Brunello,"Tuscany, Italy",0.07,Medium,,,,
Archery Summit Premier Cuvee Pinot Noir,51.59,750.0ml bottle,,,Pinot Noir,"Oregon, United States",,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Robert Mondavi Winery Reserve Oakville Fume Blanc,51.59,750.0ml bottle,,,Sauvignon Blanc,"Napa Valley, United States",0.13,Light,Dry,,,"Chicken, Cheese Fresh & Soft"
Andre Clouet Rose NV,51.59,750.0ml bottle,,,Sparkling Rose Wine,France,0.12,,,,,
Chateau De Bligny Blanc De Blanc Nv,51.57,750.0ml bottle,,,Other Sparkling Wine,"Champagne, France",0.12,,,,,
Royal Oporto Colheita Port,51.57,750.0ml bottle,,,Port Blend,,,,,,,
Chateau De Bligny Rose Nv,51.57,750.0ml bottle,,,Champagne Blend,France,0.12,,,,,
Chateau Montifaud Petite Champagne Select,51.49,750.0ml bottle,,,Champagne Blend,"Champagne, France",,,,,,
Taylor Fladgate Quinta Varg,51.49,750.0ml bottle,,,Port,Portugal,,,Sweet,,,
Zd Carn Pinot Noir,51.49,750.0ml bottle,,,Pinot Noir,"Carneros Napa, United States",,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Lejeune Trois Follots Pommard,51.49,750.0ml bottle,,,Pinot Noir,"Burgundy, France",,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Chateau Lascombes Chevalier De Lascombes Margaux,51.49,750.0ml bottle,,,Bordeaux Blend,"Margaux, France",0.14,,Dry,Big & Bold,,
Etude Pinot Noir 2009,51.48,1.5L bottle,,,Pinot Noir,"California, United States",0.14,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
La Crema Fog Veil Pinot Noir,51.48,750.0ml bottle,,,Pinot Noir,United States,0.15,,Dry,Fruity & Light,"Cherry, Dark Fruit, Spicy, Toasty","Cheese Hard Aged, Cured Meats, Duck & Game Bird, Mushrooms"
Ancient Peaks Oyster Ridge,51.47,750.0ml bottle,,,Red Blend,"Paso Robles, United States",0.15,,Dry,Big & Bold,"Chocolate, Dark Fruit, Tobacco",
Sokol Blosser Pinot Noir Estate,51.43,750.0ml bottle,,,Pinot Noir,"Oregon, United States",0.13,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Terlato Fv Pinot Noir Russian 2011,51.43,750.0ml bottle,,,Pinot Noir,"Russian River Valley, United States",0.14,Light,,Fruity & Light,,"Fish Meaty & Oily, Duck & Game Bird"
Domaine William Fevre Chablis Montee de Tonnerre,51.43,750.0ml bottle,,,Bordeaux Blend,"Burgundy, France",,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Louis Roederer Carte Blanche,51.39,750.0ml bottle,,,Champagne Blend,France,0.12,,,,,
The Prisoner Cuttings Cabernet Sauvignon,51.35,750.0ml bottle,5,(1 Reviews),Red Blend,"California, United States",0.14,Full,,,,
Barton & Guestier Margaux,51.30,750.0ml bottle,,,Bordeaux Blend,"Margaux, France",0.13,,Dry,Big & Bold,"Anise, Blueberry, Cassis, Fruity, Intense, Round, Vanilla, Velvety","Beef, Cheese Hard Aged, Cheese Nutty & Semi-Firm, Duck & Game Bird, Lamb"
Five Stones Vineyards Nobility 215A Red Blend,51.24,750.0ml bottle,,,Red Blend,,,,,,,
Perrier-Jouet Champagne Brut,51.20,750.0ml bottle,,,Champagne,"Champagne, France",,,,,,
Stags' Leap Napa Valley Cabernet Sauvignon,51.16,750.0ml bottle,4.7,(2 Reviews),Cabernet Sauvignon,"Napa Valley, United States",0.14,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Chateau Carbonnieux Rouge Pessac-Leognan,51.08,750.0ml bottle,,,Bordeaux Blend,"Bordeaux, France",0.14,,,,,
Ramey Ritchie Chardonnay,51.07,750.0ml bottle,,,Chardonnay,"Russian River Valley, United States",0.15,Full,Dry,Rich & Velvety,,"Fish Meaty & Oily, Shellfish, Cheese Fresh & Soft"
Terrazas Grand Malbec,51.04,750.0ml bottle,,,Malbec,,,,,,,
Jax Cabernet,50.99,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Chateau Grand Claret,50.99,750.0ml bottle,,,Cabernet Sauvignon,,,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Cobblestone Cabernet Sauvignon 2013,50.99,750.0ml bottle,,,Cabernet Sauvignon,"Napa Valley, United States",0.15,Full,Dry,Big & Bold,,"Beef, Duck & Game Bird"
Godme Brut Reserve,50.99,750.0ml bottle,,,Champagne,"Champagne, France",0.10,,,,,
Capataz Malbec,50.99,750.0ml bottle,,,Malbec,Argentina,0.15,Full,Dry,Big & Bold,,"Pork, Mushrooms"
